Name,Date,Address,Link
Yorkville Cellars,2017-10-24,"25701 Highway 128
Yorkville, California 95494",www.yorkville-cellars.com
Butterfield Station Winery,2019-03-17,California,www.butterfieldstationwinery.com
Young's Vineyard,2018-07-19,"10120 Shenandoah Rd.
Plymouth, California 95669",www.youngsvineyard.com
Yorkville Cellars,2017-12-26,"25701 Highway 128
Yorkville, California 95494",www.yorkville-cellars.com
Brown Family Wines,2017-10-25,"1106 Bel Arbres Dr
Redwood Valley, California 95470",www.brownfamilywines.com
Armida - Capitola,2019-03-17,"103 Stockton Ave.
Capitola, California 95010",www.armida.com
Clos du Lac Cellars / Greenstone Winery,2019-03-17,"3151 Hwy 88
Ione, California 95640",www.closdulac.com
Caldera Cuvee,2019-03-17,"Cambria, California 93428",www.calderacuvee.com
Frias Family Vineyard,2019-03-18,"275 Magellan Ave.
San Francisco, California",www.friasfamilyvineyard.com
Domaine Georg Rafael,2016-07-08,"5225 Solano Avenue
Napa, California 94558",www.georgrafaelwines.com
LaMontagne Winery,2019-03-18,"1509 E. Chestnut Ave.
Lompoc, California 93436",www.lamontagnewinery.com
Clos du Bois,2019-03-17,"19410 Geyserville Avenue
Geyserville, California 95441",www.closdubois.com
Giuseppe Wines & Neese Vineyards,2017-10-25,"Redwood Valley, California 95470",[]
Yorkville Cellars,2017-11-25,"25701 Highway 128
Yorkville, California 95494",www.yorkville-cellars.com
Poem Cellars,2016-04-19,"6633 Yount Street
Yountville, California 94599",www.poemcellars.com
Brown Family Wines,2017-11-26,"1106 Bel Arbres Dr
Redwood Valley, California 95470",www.brownfamilywines.com
Brown Family Wines,2017-10-25,"1106 Bel Arbres Dr
Redwood Valley, California 95470",www.brownfamilywines.com
Diamond Oaks Winery,2019-03-18,"1595 Oakville Grade
Napa, California 94558",www.diamond-oaks.com
Giuseppe Wines & Neese Vineyards,2017-11-26,"Redwood Valley, California 95470",[]
Xurus,2019-03-18,"21 Tamal Vista Blvd., Suite 174
Corte Madera, California 94925",xurus.com
Xtant,2016-07-02,"P.O. Box 2430
Napa, California",www.xtantwines.com
Yoakim Bridge Vineyards & Winery,2019-03-18,"7209 Dry Creek Rd.
Healdsburg, California 95448",www.yoakimbridge.com
X Winery & Amicus Cellars,2016-04-19,"122 Camino Oruga
Napa, California 94558",www.xwinery.com
Yates Family Vineyard,2016-04-20,"4723 Redwood Rd.
Napa, California 94558",www.yatesfamilyvineyard.com
Wrights Station Vineyard & Winery,2019-03-18,"24250 Loma Prieta Way
Los Gatos, California 95033",www.wrightsstation.com
Wrath Wines,2019-03-18,"35801 Foothill Rd.
Soledad, California 93960",www.wrathwines.com
Wren Hop Vineyards,2019-03-18,"3701 Mark West Station Rd.
Windsor, California 95492",www.wrenhop.com
Y Rousseau Wines,2016-05-01,"902 Enterprise Way, Suite O
Napa, California 94558",www.yrousseauwines.com
Yao Family Wines,2016-04-19,"929 Main Street
Napa, California 94515",www.yaofamilywines.com
XYZin,2019-03-18,California,www.xyzinwines.com
Wrath - Carmel,2019-03-18,"Ocean Avenue and Mission Street
Carmel, California 93921",www.wrathwines.com
Worthy,2019-03-18,California,www.worthywine.com
Word Vineyards,2019-03-18,"1922 Placentia Ave, Ste A
Costa Mesa, California 92627",www.wordvineyards.com
Elan Vineyards,2016-02-29,"4500 Atlas Peak Rd.
Napa, California",www.elanvineyards.com
Workman Ayer,2019-03-18,"Buellton, California 93427",www.workmanayer.com
Bougetz Cellars,2016-04-19,"1285 Dealy Lane
Napa, California 94559",www.bougetzcellars.com
Aubin Cellars,2019-03-17,"6050 Colton Blvd.
Oakland, California 94611",www.aubincellars.com
Cannonball,2014-08-18,"1520 Withers Ave
Monterey, California 93940",www.drinkcannonball.com
Ma(i)sonry,2019-03-18,"6711 Washington Street
Yountville, California 94599",maisonry.com
Five Rivers Winery,2019-03-18,"PO Box 9
Fulton, California 95439",www.fiveriverswinery.com
Ferrari-Carano Vineyards & Winery,2015-05-03,"8761 W Dry Creek Rd.
Healdsburg, California 95448",www.ferrari-carano.com
Lindstrom Wines,2019-03-18,"P.O. Box 3506
Yountville, California 94599",www.lindstromwines.com
Most Wanted Wine Co.,2019-03-18,"732 N. Yosemite Ave.
Oakdale, California 95361",www.mostwantedwinery.com
Elan Vineyards,2016-04-17,"4500 Atlas Peak Rd.
Napa, California",www.elanvineyards.com
Montagna Vineyards,2019-03-18,"141 Long Ranch Rd.
St. Helena, California 94574",montagnanapavalley.com
Simon Levi Cellars / SL Cellars,2019-03-18,"9380 Sonoma Hwy.
Kenwood, California 95452",www.slcellars.com
Temecula Hills Old Town Tasting Room,2016-04-17,"41955 Main St
Old Town Temecula, California 92590
951 695-4525",www.temeculahillswinery.com
The Good Life Cellar,2018-03-11,"1672 Mission Dr
Solvang, California 93463",www.thegoodlifecellar.com
Ferrari-Carano Vineyards & Winery,2015-04-02,"8761 W Dry Creek Rd.
Healdsburg, California 95448",www.ferrari-carano.com
Elan Vineyards,2018-03-18,"4500 Atlas Peak Rd.
Napa, California",www.elanvineyards.com
Elan Vineyards,2016-02-29,"4500 Atlas Peak Rd.
Napa, California",www.elanvineyards.com
Temecula Hills Old Town Tasting Room,2017-08-16,"41955 Main St
Old Town Temecula, California 92590
951 695-4525",www.temeculahillswinery.com
Bottle Jack Winery,2019-03-17,"1088 La Madrona Dr
Santa Cruz, California 95060",bottlejackwines.com
Alex Sotelo Cellars,2016-07-02,"4154 Burgandy Way
Napa, California",www.alexsotelocellars.com
Bennett Family,2019-03-17,California,www.thefamilyreserve.com
Cairdean,2019-03-17,"3111 St. Helena Hwy N
St. Helena, California 94574",www.cairdeanvineyards.com
Work Vineyard,2016-04-20,"3190 Hwy. 128
Calistoga, California 94515",www.workvineyard.com
Cakebread Cellars,2016-04-20,"8300 St. Helena Highway
Rutherford, California 94558",www.cakebread.com
Elizabeth Vineyards,2017-10-25,"8591 Colony Dr.
Redwood Valley, California 95470",www.elizabethvineyards.com
Auriga Wine Cellars,2019-03-17,"4520 Pleasant Valley Road
Placerville, California 95667",www.aurigawines.com
Four Cairn Wines,2019-03-18,"PO Box 241
Rutherford, California 95473",www.fourcairn.com
DV8 Cellars,2019-03-18,"28 Anacapa St #C
Santa Barbara, California 93101",dv8cellars.com
Cambria Estate Vineyards And Winery,2019-03-17,"5475 Chardonnay Ln.
Santa Maria, California 93454",www.cambriawines.com
Jessie's Grove at Olde Ice House Cellars,2019-03-18,"1973 West Turner Rd.
Lodi, California 95240",www.jessiesgrovewinery.com
San Marcos Creek Vineyard,2018-06-04,"7750 North Highway 101
Paso Robles, California 93446
866- PASO-WINE",www.sanmarcoscreek.com
Contessa de Carneros,2019-03-17,"1200 Dealy Lane
Napa, California 94559",www.contessadecarneros.com
Alex Sotelo Cellars,2018-03-14,"4154 Burgandy Way
Napa, California",www.alexsotelocellars.com
Alex Sotelo Cellars,2016-03-16,"4154 Burgandy Way
Napa, California",www.alexsotelocellars.com
Elizabeth Vineyards,2017-11-26,"8591 Colony Dr.
Redwood Valley, California 95470",www.elizabethvineyards.com
Gary Farrell Winery,2019-03-18,"10701 Westside Rd.
Healdsburg, California 95448",www.garyfarrellwines.com
Pamo Valley Vineyards & Winery,2015-03-01,"603 Main Street
Ramona, California 92065",www.pamovalleyvineyards.com
Alex Sotelo Cellars,2018-05-19,"4154 Burgandy Way
Napa, California",www.alexsotelocellars.com
Alex Sotelo Cellars,2015-11-01,"4154 Burgandy Way
Napa, California",www.alexsotelocellars.com
Alex Sotelo Cellars,2016-07-02,"4154 Burgandy Way
Napa, California",www.alexsotelocellars.com
Cakebread Cellars,2017-03-17,"8300 St. Helena Highway
Rutherford, California 94558",www.cakebread.com
San Marcos Creek Vineyard,2018-08-04,"7750 North Highway 101
Paso Robles, California 93446
866- PASO-WINE",www.sanmarcoscreek.com
Zilaro Cellars,2016-05-05,"27495 Diaz Rd.
Temecula, California 92590",www.zilarocellars.com
Elizabeth Vineyards,2017-10-25,"8591 Colony Dr.
Redwood Valley, California 95470",www.elizabethvineyards.com
Zinke Wine Co.,2018-03-11,"2366 Alamo Pintado Ave
Los Olivos, California 93441",zinkewines.com
Brian Edward Wines,2016-07-07,"Napa, California 94558",www.brianedwardwines.com
Corbett Canyon Vineyards,2015-10-06,"P.O. Box 3159
San Luis Obispo, California",www.corbettcanyon.com
Baldassari Family Wines,2019-03-17,California,www.bfwwine.com
Bella Vineyards & Wine Caves,2019-03-17,"9711 W. Dry Creek Rd.
Healdsburg, California 95448",www.bellawinery.com
Eli Madyson Vineyards,2018-01-20,"2327 Casitas Del Sol
Fallbrook, California 92028",www.elimadysonvineyards.com
Darjean Jones,2016-04-20,"45 Enterprise Ct
Napa, California 94558",www.darjeanjoneswines.com
Fields Family - Lodi,2019-03-18,"20 N. School Street
Lodi, California 95240",www.fieldsfamilywines.com
Dakota Shy,2016-04-20,"771 Sage Canyon Road
St. Helena, California 94574",dakotashywine.com
Kukeri Wines,2015-09-14,"1446 Industrial Ave
Sebastopol, California 95472",kukeriwines.com
Kukkula,2018-06-04,"9515 Chimney Rock Rd.
Paso Robles, California 93446",www.kukkulawine.com
Four Brix Winery,2019-03-18,"2290 Eastman Ave., Suite 109
Ventura, California 93003",www.fourbrixwine.com
Corbett Canyon Vineyards,2018-06-03,"P.O. Box 3159
San Luis Obispo, California",www.corbettcanyon.com
De Novo Wines,2019-03-18,"6082 Chabot Rd.
Oakland, California 94618",www.denovowines.com
La Pitchoune Winery,2019-03-18,"3358 Coffey Lane
Santa Rosa, California 95403",www.lapitchounewinery.com
Domaine Carneros,2016-07-07,"1240 Duhig Rd.
Napa, California 94559",www.domainecarneros.com
Lambert Bridge Winery,2016-03-16,"4085 W. Dry Creek Rd.
Healdsburg, California 95448",www.lambertbridge.com
Two Amigos Wines,2019-03-18,"25 E Napa St
Sonoma, California 95476",twoamigoswines.com
Brian Edward Wines,2016-04-21,"Napa, California 94558",www.brianedwardwines.com
Dakota Shy,2017-03-17,"771 Sage Canyon Road
St. Helena, California 94574",dakotashywine.com
Corbett Canyon Vineyards,2015-10-06,"P.O. Box 3159
San Luis Obispo, California",www.corbettcanyon.com
Kukkula,2018-08-04,"9515 Chimney Rock Rd.
Paso Robles, California 93446",www.kukkulawine.com
Quady Winery,2019-03-18,"13181 Rd. 24
Madera, California 93639",www.quadywinery.com
Corbett Canyon Vineyards,2018-08-04,"P.O. Box 3159
San Luis Obispo, California",www.corbettcanyon.com
Domaine Carneros,2016-06-04,"1240 Duhig Rd.
Napa, California 94559",www.domainecarneros.com
Brian Edward Wines,2016-07-07,"Napa, California 94558",www.brianedwardwines.com
Kukkula,2018-06-04,"9515 Chimney Rock Rd.
Paso Robles, California 93446",www.kukkulawine.com
Domaine Carneros,2016-08-08,"1240 Duhig Rd.
Napa, California 94559",www.domainecarneros.com
Bacchant Wines,2019-03-17,"PO Box 908
Gonzales, California 93926",www.bacchantwines.com
Barefoot Cellars,2019-03-17,"P.O. Box 1130
Modesto, California",www.barefootwine.com
Chanticleer Estate Wines,2016-04-25,"4 Vineyard View Drive
Yountville, California 94599",www.chanticleerwine.com
Beauregard Vineyards,2019-03-17,"10 Pine Flat Rd
Bonny Doon, California 95060",www.beauregardvineyards.com
Corvalle,2016-04-20,"1304 Oak Ave.
St. Helena, California 94574",www.corvalle.com
Burbank Ranch,2015-10-06,"5685 El Pomar Drive
Templeton, California 93465",www.burbankranch.com
Fausta Family Vineyards,2019-03-18,"P.O. Box 1675
Boyes Hot Springs, California 95476",faustafamilyvineyards.com
Chapin Family Vineyards,2018-01-20,"36084 Summitville St
Temecula Valley, California 92592",chapinfamilyvineyards.com
Dehlinger Winery,2019-03-18,"4101 Vine Hill Road
Sebastopol, California 95472",www.dehlingerwinery.com
Etnyre Wines,2019-03-18,"P.O. Box 1442
Pismo Beach, California 93448",www.etnyrewines.com
Hellanback Ranch Vineyard,2018-01-26,"17287 Oak Hollow Road
Ramona, California 92065",www.hellanbackranch.com
Caddis,2018-05-28,"7878 Cedar Mountain Road
Livermore, California 94550",www.caddiswine.com
Kobler Estate Winery,2019-03-18,"1275 4th Street, Suite 732
Santa Rosa, California 95404",koblerestatewinery.com
Mulas Family Winery,2016-04-27,"23900 Ramal Rd.
Sonoma, California 95476",www.mulasfamilywines.com
Pope Valley Winery,2014-01-26,"6613 Pope Valley Rd.
Pope Valley, California 94567",www.popevalleywinery.com
Burbank Ranch,2018-06-03,"5685 El Pomar Drive
Templeton, California 93465",www.burbankranch.com
Chapin Family Vineyards,2015-03-03,"36084 Summitville St
Temecula Valley, California 92592",chapinfamilyvineyards.com
Saucelito Canyon Vineyard,2019-03-18,"3080 Biddle Ranch Road
San Luis Obispo, California 93401",www.saucelitocanyon.com
Hellanback Ranch Vineyard,2015-02-28,"17287 Oak Hollow Road
Ramona, California 92065",www.hellanbackranch.com
Peter Michael Winery,2019-03-18,"12400 Ida Clayton Rd.
Calistoga, California 94515",www.petermichaelwinery.com
Young's Vineyard,2017-04-27,"10120 Shenandoah Rd.
Plymouth, California 95669",www.youngsvineyard.com
Chapin Family Vineyards,2018-01-20,"36084 Summitville St
Temecula Valley, California 92592",chapinfamilyvineyards.com
Burbank Ranch,2018-08-04,"5685 El Pomar Drive
Templeton, California 93465",www.burbankranch.com
Burbank Ranch,2015-10-06,"5685 El Pomar Drive
Templeton, California 93465",www.burbankranch.com
Hellanback Ranch Vineyard,2018-01-26,"17287 Oak Hollow Road
Ramona, California 92065",www.hellanbackranch.com
Woodward-Graff Wines,2019-03-18,California,[]
Yates Family Vineyard,2016-06-08,"4723 Redwood Rd.
Napa, California 94558",www.yatesfamilyvineyard.com
Woof 'n Rose Vineyard,2019-03-18,"17073 Garjan Ln.
Ramona, California 92065",www.woofnrose.com
Woodworth Vineyards,2016-04-29,"28544 Old Town Front St.
Temecula, California 92591",www.woodworthwine.com
Woodside Vineyards - Menlo Park,2019-03-18,"205 Constitution Dr
Menlo Park, California 94025",www.woodsidevineyards.com
Anderson's Conn Valley Vineyards,2018-03-11,"680 Rossi Rd.
St. Helena, California 94574",www.connvalleyvineyards.com
Cederquist Wine Company,2019-03-17,"5700 Occidental Rd
Santa Rosa, California 95401",www.cederquistwineco.com
Byron Vineyard & Winery,2018-03-08,"2367 Alamo Pintado Avenue
Los Olivos, California 93441",www.byronwines.com
Woodenhead Vintners,2019-03-18,"5700 River Rd.
Forestville, California 95401",www.woodenheadwine.com
Anderson's Conn Valley & Eagles Trace Tasting Room,2018-03-11,"St. Helena, California 94574",[]
Woodside Vineyards,2019-03-18,"340 Kings Mtn. Rd.
Woodside, California",www.woodsidevineyards.com
Fieldbrook Winery,2019-03-18,"4241 Fieldbrook Rd.
Mckinleyville, California 95519",www.fieldbrookwinery.com
Chiarella Wines,2019-03-17,"431 Main Street
Murphys, California 95247",www.chiarellawines.com
Wooden Valley Winery,2019-03-18,"4756 Suisun Valley Rd.
Fairfield, California 94534",www.woodenvalley.com
Woodworth Vineyards,2015-03-01,"28544 Old Town Front St.
Temecula, California 92591",www.woodworthwine.com
Woodworth Vineyards,2017-08-16,"28544 Old Town Front St.
Temecula, California 92591",www.woodworthwine.com
Fat Grape Winery,2019-03-18,"1080 Ave M
San Francisco, California 94130",www.fatgrapewinery.com
Vines on the Marycrest,2018-06-04,"5076 Mustard Creek Rd.
Paso Robles, California 93446",www.vinesonthemarycrest.com
Byron Vineyard & Winery,2018-05-16,"2367 Alamo Pintado Avenue
Los Olivos, California 93441",www.byronwines.com
Anderson's Conn Valley & Eagles Trace Tasting Room,2016-03-16,"St. Helena, California 94574",[]
Estrella Creek,2019-03-18,"409 Pacific Coast Hwy.
Redondo Beach, California 90277",www.estrellacreekwines.com
Woodworth Vineyards,2017-08-17,"28544 Old Town Front St.
Temecula, California 92591",www.woodworthwine.com
Anderson's Conn Valley Vineyards,2015-11-08,"680 Rossi Rd.
St. Helena, California 94574",www.connvalleyvineyards.com
Vines on the Marycrest,2018-08-04,"5076 Mustard Creek Rd.
Paso Robles, California 93446",www.vinesonthemarycrest.com
